name,ticker,market,sector
Munjal Showa Limited,MUNJALSHOW,NSE,Producer manufacturing
Munoth Financial Services Limited,MUNOTHFI,BSE,Finance
Murae Organisor Limited,MURAE,BSE,Distribution services
Murudeshwar Ceramics Limited,MURUDCERA,NSE,Producer manufacturing
Muthoot Capital Services Ltd.,MUTHOOTCAP,NSE,Finance
Muthoot Finance Ltd,MUTHOOTFIN,NSE,Finance
Muthoot Microfin Ltd,MUTHOOTMF,NSE,Finance
Manoj Vaibhav Gems 'N' Jewellers Limited,MVGJL,NSE,Retail trade
M.V.K. Agro Food Product Ltd.,MVKAGRO,NSE,Process industries
Mangalam Worldwide Ltd.,MWL,NSE,Non-energy minerals
My Money Securities Ltd,MYMONEY,BSE,Finance
My Mudra Fincorp Ltd.,MYMUDRA,NSE,Finance
Mysore Petro Chemicals Limited,MYSORPETRO,BSE,Distribution services
Mystic Electronics Ltd.,MYSTICELE,BSE,Distribution services
Nacdac Infrastructure Ltd.,NACDAC,BSE,Consumer durables
NACL Industries Ltd,NACLIND,NSE,Process industries
Nagarjuna Fertilizers & Chemicals Ltd.,NAGAFERT,NSE,Process industries
Nagpur Power & Industries Ltd.,NAGPI,BSE,Electronic technology
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,NSE,Finance
Nagreeka Exports Ltd,NAGREEKEXP,NSE,Process industries
Nagarjuna Agri Tech Ltd.,NAGTECH,BSE,Process industries
Nahar Capital & Financial Services Ltd.,NAHARCAP,NSE,Finance
Nahar Industrial Enterprises Limited,NAHARINDUS,NSE,Process industries
Nahar Poly Films Limited,NAHARPOLY,NSE,Process industries
Nahar Spinning Mills Ltd,NAHARSPING,NSE,Process industries
Naksh Precious Metals Limited,NAKSH,BSE,Distribution services
Nam Securities Ltd.,NAM,BSE,Finance
Naman In-Store (India) Limited,NAMAN,NSE,Producer manufacturing
Namo eWaste Management Ltd.,NAMOEWASTE,NSE,Industrial services
Nippon Life India Asset Management Ltd.,NAM_INDIA,NSE,Finance
Naperol Investments Ltd,NAPEROL,BSE,Process industries
Naturite Agro Products Ltd,NAPL,BSE,Consumer non-durables
Naps Global India Ltd.,NAPSGLOBAL,BSE,Process industries
Narbada Gems & Jewellery Ltd.,NARBADA,BSE,Consumer durables
Narmada Agrobase Limited,NARMADA,NSE,Process industries
Narmada Macplast Drip Irrigation Systems Ltd,NARMP,BSE,Producer manufacturing
Narendra Properties Limited,NARPROP,BSE,Finance
Natural Capsules Limited,NATCAPSUQ,NSE,Health technology
NATCO Pharma Limited,NATCOPHARM,NSE,Health technology
National Fittings Limited,NATFIT,BSE,Producer manufacturing
National General Industries Ltd.,NATGENI,BSE,Non-energy minerals
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,NSE,Process industries
Nath Industries Ltd.,NATHIND,BSE,Process industries
Natura Hue Chem Ltd.,NATHUEC,BSE,Transportation
National Aluminium Co. Ltd.,NATIONALUM,NSE,Non-energy minerals
National Standard (India) Ltd.,NATIONSTD,BSE,Finance
National Plastic Industries Limited,NATPLAS,BSE,Producer manufacturing
National Plastic Technologies Ltd.,NATPLASTI,BSE,Process industries
National Plywood Industries Ltd,NATPLY,BSE,Non-energy minerals
Natraj Proteins Limited,NATRAJPR,BSE,Process industries
Natural Biocon India Ltd.,NATURAL,BSE,Process industries
Naturo Indiabull Ltd.,NATURO,BSE,Distribution services
Info Edge India Ltd.,NAUKRI,NSE,Technology services
Nava Limited,NAVA,NSE,Utilities
Navigant Corporate Advisors Ltd.,NAVIGANT,BSE,Commercial services
Navin Fluorine International Limited,NAVINFLUOR,NSE,Process industries
Navkar Corporation Ltd,NAVKARCORP,NSE,Transportation
Navkar Urbanstructure Limited,NAVKARURB,NSE,Non-energy minerals
Navneet Education Limited,NAVNETEDUL,NSE,Producer manufacturing
Nazara Technologies Ltd.,NAZARA,NSE,Technology services
NBCC (INDIA) LIMITED,NBCC,NSE,Commercial services
NB Footwear Limited,NBFOOT,BSE,Consumer non-durables
N.B.I. Industrial Finance Company Ltd,NBIFIN,NSE,Finance
Naapbooks Limited,NBL,BSE,Technology services
NCC Limited,NCC,NSE,Consumer durables
NCC Bluewater Products Ltd.,NCCBLUE,BSE,Consumer non-durables
NCL Industries Ltd,NCLIND,NSE,Non-energy minerals
NCL Research & Financial Services Ltd.,NCLRESE,BSE,Finance
Nilachal Carbo Metalicks Limited,NCML,BSE,Non-energy minerals
NDA Securities Ltd.,NDASEC,BSE,Finance
Naga Dhunseri Group Ltd,NDGL,NSE,Finance
Nandan Denim Limited,NDL,NSE,Process industries
NDL Ventures Ltd,NDLVENTURE,NSE,Consumer services
N.D. Metal Industries Ltd.,NDMETAL,BSE,Producer manufacturing
NDR Auto Components Ltd.,NDRAUTO,NSE,Producer manufacturing
New Delhi Television Limited,NDTV,NSE,Consumer services
Neelamalai Agro Industries Limited,NEAGI,BSE,Consumer non-durables
North Eastern Carrying Corp. Ltd.,NECCLTD,NSE,Transportation
Nectar Lifesciences Ltd.,NECLIFE,NSE,Health technology
Neelam Linens and Garments (India) Limited,NEELAM,NSE,Consumer durables
Neelkanth Rockminerals Ltd.,NEELKAN,BSE,Non-energy minerals
Neeraj Paper Marketing Ltd.,NEERAJ,BSE,Distribution services
Neetu Yoshi Limited,NEETUYOSHI,BSE,Non-energy minerals
Neil Industries Ltd,NEIL,BSE,Finance
Nelcast Limited,NELCAST,NSE,Non-energy minerals
Nelco Limited,NELCO,NSE,Electronic technology
Neogen Chemicals Ltd.,NEOGEN,NSE,Process industries
Neo Infracon Ltd.,NEOINFRA,BSE,Finance
Nephro Care India Limited,NEPHROCARE,NSE,Health services
Neptune Petrochemicals Limited,NEPTUNE,NSE,Non-energy minerals
NESCO Limited,NESCO,NSE,Producer manufacturing
Nestle India Ltd.,NESTLEIND,NSE,Consumer non-durables
Netlink Solutions (India) Limited,NETLINK,BSE,Technology services
Nettlinx Limited,NETTLINX,BSE,Communications
Netweb Technologies India Limited,NETWEB,NSE,Electronic technology
Network18 Media & Investments Limited,NETWORK18,NSE,Consumer services
Neuland Laboratories Ltd.,NEULANDLAB,NSE,Health technology
Newgen Software Technologies Limited,NEWGEN,NSE,Technology services
Newtime Infrastructure Limited,NEWINFRA,BSE,Finance
Newjaisa Technologies Limited,NEWJAISA,NSE,Retail trade
New Light Apparels Ltd.,NEWLIGHT,BSE,Consumer non-durables
Nexome Capital Markets Limited,NEXOME,BSE,Finance
Next Mediaworks Limited,NEXTMEDIA,NSE,Consumer services
Nexus Surgical and Medicare Limited,NEXUSSURGL,BSE,Distribution services
Nexxus Petro Industries Limited,NEXXUS,BSE,Non-energy minerals
National Fertilizers Ltd.,NFL,NSE,Process industries
Nakoda Group of Industries Ltd.,NGIL,NSE,Consumer non-durables
NG Industries Ltd.,NGIND,BSE,Health services
NGL Fine-Chem Ltd.,NGLFINE,NSE,Health technology
Narayana Hrudayalaya Ltd.,NH,NSE,Health services
NHC Foods Limited,NHCFOODS,BSE,Distribution services
Naturewings Holidays Limited,NHL,BSE,Consumer services
NHPC Limited,NHPC,NSE,Utilities
New India Assurance Co. Ltd.,NIACL,NSE,Finance
Nibe Ltd.,NIBE,NSE,Process industries
NRB Industrial Bearings Ltd.,NIBL,NSE,Producer manufacturing
Nicco Parks & Resorts Ltd.,NICCOPAR,BSE,Consumer services
Nidan Laboratories and Healthcare Limited,NIDAN,NSE,Health services
Nidhi Granites Ltd.,NIDHGRN,BSE,Finance
Nihar Info Global Limited,NIHARINF,BSE,Technology services
NIIT Limited,NIITLTD,NSE,Commercial services
NIIT Learning Systems Ltd,NIITMTS,NSE,Commercial services
Nikhil Adhesives Limited,NIKHILAD,BSE,Process industries
Nikita Papers Limited,NIKITA,NSE,Process industries
Nikki Global Finance Limited,NIKKIGL,BSE,Finance
Niks Technology Limited,NIKSTECH,BSE,Technology services
Nilachal Refractories Ltd.,NILACHAL,BSE,Non-energy minerals
Nila Infrastructures Limited,NILAINFRA,NSE,Industrial services
Nila Spaces Ltd.,NILASPACES,NSE,Consumer durables
Nile Limited,NILE,BSE,Non-energy minerals
